Type,Number,Type Strain
1,95,F.longum_CM04-06A
2,95,"F.prausnitzii_ATCC-27768_a,F.tardum_CLA-AA-H175"
3,85,"F.duncaniae_A2-165_a.gff,F.duncaniae_JCM-31915.gff,F.duncaniae_A2-165_b.gff,F.duncaniae_A2-165_c.gff"
4,72,"F.taiwanense_HLW78,F.faecis_CLA-JM-H7-B"
5,23,无
6,15,无
7,14,F.intestinale_CLA-AA-H281
8,14,"F.wellingii_HTF-F_a,F.wellingii_HTF-F_b"
9,11,F.butyricigenerans_AF52-21
10,12,无
11,11,无
12,9,F.hattorii_APC922
13,8,无
14,7,无
15,6,无
16,6,无
17,5,无
18,4,无
19,3,无
20,3,无
21,3,无
22,2,无
23,2,F.gallinarum_JCM-17207
24,2,无
25,2,无
26,2,无
27,2,无
28,1,无
29,1,无
30,1,无
31,1,无
32,1,无
33,1,无
34,1,无
35,1,无
36,1,无
37,1,无
38,1,无
39,1,无
40,1,无
41,1,无
42,1,无
43,1,无
44,1,无
45,1,无
46,1,无
47,1,无
48,1,无
49,1,无
50,1,无
51,1,无
52,1,无
53,1,无
54,1,无
55,1,无
56,1,无
57,1,无
58,1,无
59,1,无
60,1,无
