query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
IDJJGBAN_01111	748224.HMPREF9436_02385	0.0	1083.0	COG0419@1|root,COG0419@2|Bacteria,1TPCS@1239|Firmicutes,24A22@186801|Clostridia,3WG9M@541000|Ruminococcaceae	2|Bacteria	L	exonuclease SbcC	sbcC	-	-	ko:K03546	-	-	-	-	ko00000,ko03400	-	-	-	AAA_23,AAA_29,SbcCD_C
IDJJGBAN_01299	1235792.C808_04575	9.4e-13	73.2	COG2730@1|root,COG2730@2|Bacteria,1TSJQ@1239|Firmicutes,247IR@186801|Clostridia,27KQY@186928|unclassified Lachnospiraceae	2|Bacteria	G	Cellulase (glycosyl hydrolase family 5)	celA	-	2.4.1.12,3.2.1.4	ko:K00694,ko:K01179	ko00500,ko01100,ko02026,map00500,map01100,map02026	-	R02889,R06200,R11307,R11308	RC00005	ko00000,ko00001,ko01000,ko01003,ko02000	4.D.3.1.2,4.D.3.1.5,4.D.3.1.6	GH5,GH9,GT2	-	CBM_17_28,CBM_2,Cellulase,SLH
IDJJGBAN_00669	657322.FPR_19810	1.31e-243	669.0	COG0438@1|root,COG0438@2|Bacteria,1V74B@1239|Firmicutes,2517N@186801|Clostridia	2|Bacteria	M	transferase activity, transferring glycosyl groups	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_trans_1_2,Glycos_transf_1,Glycos_transf_2
IDJJGBAN_01705	657322.FPR_08890	3.51e-94	280.0	2EHNH@1|root,33BEA@2|Bacteria,1VQC1@1239|Firmicutes,24X4U@186801|Clostridia	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IDJJGBAN_01626	657322.FPR_02070	5.56e-242	670.0	COG2271@1|root,COG2271@2|Bacteria,1TQZE@1239|Firmicutes,25E40@186801|Clostridia,3WP80@541000|Ruminococcaceae	2|Bacteria	G	Major Facilitator Superfamily	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1,MFS_2
IDJJGBAN_01538	748224.HMPREF9436_01849	5.93e-212	596.0	COG1114@1|root,COG1114@2|Bacteria,1TQIS@1239|Firmicutes,248I0@186801|Clostridia,3WI3G@541000|Ruminococcaceae	2|Bacteria	E	Component of the transport system for branched-chain amino acids	brnQ	-	-	ko:K03311	-	-	-	-	ko00000	2.A.26	-	-	Branch_AA_trans
IDJJGBAN_02011	748224.HMPREF9436_00613	1.51e-248	689.0	COG1649@1|root,COG1649@2|Bacteria,1TRTG@1239|Firmicutes,24B2F@186801|Clostridia,3WGB4@541000|Ruminococcaceae	2|Bacteria	M	lipoprotein YddW precursor K01189	yngK	-	-	-	-	-	-	-	-	-	-	-	Big_2,Cu_amine_oxidN1,GHL10,SLH
IDJJGBAN_00258	657322.FPR_29100	2.64e-141	399.0	COG0406@1|root,COG0406@2|Bacteria,1V6G1@1239|Firmicutes,24JP4@186801|Clostridia,3WJCY@541000|Ruminococcaceae	2|Bacteria	G	Psort location Cytoplasmic, score	cobC	-	3.1.3.73	ko:K02226	ko00860,ko01100,map00860,map01100	M00122	R04594,R11173	RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	His_Phos_1
IDJJGBAN_01296	657322.FPR_15020	7.74e-241	665.0	2DPZM@1|root,33447@2|Bacteria,1VKXN@1239|Firmicutes,25FPN@186801|Clostridia,3WMCE@541000|Ruminococcaceae	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IDJJGBAN_00174	657322.FPR_29940	2.22e-126	359.0	COG0454@1|root,COG0456@2|Bacteria,1VGZX@1239|Firmicutes,24I40@186801|Clostridia,3WMBR@541000|Ruminococcaceae	2|Bacteria	K	Psort location Cytoplasmic, score 8.87	-	-	2.3.1.128	ko:K03789	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	Acetyltransf_1,Acetyltransf_10
