Status	Bin_ID	Level	Complete	Fragmented	Duplicated	Reason
Pass	13414_6_54	genomes	95.9	2.4	3.2	-
Pass	A2165	genomes	95.1	3.2	2.4	-
Pass	AF10-13	genomes	95.9	2.4	3.2	-
Pass	AF10-46	genomes	96.7	1.6	4.0	-
Pass	AF27-11BH	genomes	96.7	1.6	3.2	-
Pass	AF29-11BH	genomes	95.9	2.4	3.2	-
Pass	AF31-14AC	genomes	95.9	2.4	3.2	-
Pass	AF32-8AC	genomes	96.7	1.6	4.0	-
Pass	AF36-11AT	genomes	95.9	2.4	2.4	-
Pass	AF52-21	genomes	95.9	2.4	3.2	-
Pass	AHMP21	genomes	96.8	1.6	2.4	-
Pass	AM33-14AC	genomes	96.0	2.4	1.6	-
Pass	AM36-18BH	genomes	95.9	2.4	3.2	-
Pass	AM37-13AC	genomes	95.9	2.4	3.2	-
Pass	AM39-7BH	genomes	95.9	2.4	4.0	-
Pass	AM42-11AC	genomes	95.9	2.4	4.0	-
Pass	AM43-5AT	genomes	96.7	1.6	4.0	-
Pass	APC918_95b	genomes	95.9	2.4	3.2	-
Pass	APC922_41-1	genomes	95.9	2.4	2.4	-
Pass	APC923_51-1	genomes	95.9	2.4	3.2	-
Pass	APC923_61-1	genomes	95.9	2.4	2.4	-
Pass	APC924_119	genomes	95.9	2.4	3.2	-
Pass	APC942_18-1	genomes	96.7	1.6	3.2	-
Pass	APC942_32-1	genomes	96.8	1.6	1.6	-
Pass	APC942_8-14-2	genomes	95.9	2.4	2.4	-
Pass	ATCC_27766	genomes	95.9	2.4	3.2	-
Pass	ATCC_27768	genomes	95.9	2.4	3.2	-
Pass	BIOML-A1-1	genomes	96.7	1.6	3.2	-
Pass	BIOML-A1	genomes	95.9	2.4	3.2	-
Pass	BIOML-A2	genomes	96.7	1.6	3.2	-
Pass	BIOML-A3	genomes	96.7	1.6	3.2	-
Pass	BIOML-A4	genomes	96.7	1.6	3.2	-
Pass	BIOML-B10	genomes	95.9	2.4	3.2	-
Pass	BIOML-B11	genomes	95.9	2.4	3.2	-
Pass	BIOML-B12	genomes	95.9	2.4	3.2	-
Pass	BIOML-B13	genomes	95.9	2.4	3.2	-
Pass	BIOML-B14	genomes	95.9	2.4	3.2	-
Pass	BIOML-B17	genomes	95.9	2.4	3.2	-
Pass	BIOML-B18	genomes	95.9	2.4	3.2	-
Pass	BIOML-B1	genomes	95.9	2.4	3.2	-
Pass	BIOML-B2	genomes	95.9	2.4	3.2	-
Pass	BIOML-B3	genomes	95.9	2.4	3.2	-
Pass	BIOML-B4	genomes	95.9	2.4	3.2	-
Pass	BIOML-B5	genomes	95.9	2.4	3.2	-
Pass	BIOML-B6	genomes	95.9	2.4	3.2	-
Pass	BIOML-B7	genomes	95.9	2.4	3.2	-
Pass	BIOML-B8	genomes	95.9	2.4	3.2	-
Pass	BIOML-B9	genomes	95.9	2.4	3.2	-
Pass	CLAAAH16.combined	genomes	95.9	2.4	3.2	-
Pass	CLAAAH175.combined	genomes	95.9	2.4	3.2	-
Pass	CLAAAH222.combined	genomes	95.9	2.4	3.2	-
Pass	CLAAAH223.combined	genomes	96.0	2.4	1.6	-
Pass	CLAAAH233.combined	genomes	95.9	2.4	3.2	-
Pass	CLAAAH236.combined	genomes	96.7	1.6	4.0	-
Pass	CLAAAH243.combined	genomes	96.8	1.6	1.6	-
Pass	CLAAAH281.combined	genomes	95.9	2.4	3.2	-
Pass	CLAAAH283.combined	genomes	95.1	3.2	2.4	-
Pass	CLAJMH7B.combined	genomes	95.9	2.4	3.2	-
Pass	CLAJMH7.combined	genomes	95.9	2.4	3.2	-
Pass	CNCMI4540	genomes	96.7	1.6	3.2	-
Pass	CNCMI4541	genomes	95.9	2.4	4.8	-
Pass	CNCMI4542	genomes	96.7	1.6	3.2	-
