¾úÖê: AF32-8AC
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | HACLHHAG_01408
GBNPKNOO_01667  | HACLHHAG_01407
GBNPKNOO_01668  | È±Ê§
GBNPKNOO_01669  | HACLHHAG_01405
GBNPKNOO_01670  | HACLHHAG_01404
GBNPKNOO_01671  | HACLHHAG_01403
GBNPKNOO_01672  | HACLHHAG_01402
GBNPKNOO_01673  | HACLHHAG_01401
GBNPKNOO_01674  | HACLHHAG_01400
GBNPKNOO_01675  | HACLHHAG_01399
GBNPKNOO_01676  | HACLHHAG_01398
GBNPKNOO_01677  | HACLHHAG_01397
GBNPKNOO_01678  | HACLHHAG_01396
GBNPKNOO_01679  | HACLHHAG_01395
GBNPKNOO_01680  | HACLHHAG_01394
GBNPKNOO_01681  | HACLHHAG_01393
GBNPKNOO_01682  | HACLHHAG_01392
GBNPKNOO_01683  | HACLHHAG_01391
GBNPKNOO_01684  | HACLHHAG_01390
GBNPKNOO_01685  | HACLHHAG_01388
GBNPKNOO_01686  | HACLHHAG_01387
GBNPKNOO_01687  | È±Ê§
GBNPKNOO_01688  | È±Ê§
GBNPKNOO_01689  | HACLHHAG_01384
GBNPKNOO_01690  | È±Ê§
GBNPKNOO_01691  | È±Ê§
GBNPKNOO_01692  | È±Ê§
GBNPKNOO_01693  | È±Ê§
GBNPKNOO_01694  | È±Ê§

¾úÖê: APC942_18-1
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | NLFGBHOG_01588
GBNPKNOO_01667  | NLFGBHOG_01589
GBNPKNOO_01668  | È±Ê§
GBNPKNOO_01669  | NLFGBHOG_01591
GBNPKNOO_01670  | NLFGBHOG_01592
GBNPKNOO_01671  | NLFGBHOG_01593
GBNPKNOO_01672  | NLFGBHOG_01594
GBNPKNOO_01673  | NLFGBHOG_01595
GBNPKNOO_01674  | NLFGBHOG_01596
GBNPKNOO_01675  | NLFGBHOG_01597
GBNPKNOO_01676  | NLFGBHOG_01598
GBNPKNOO_01677  | NLFGBHOG_01599
GBNPKNOO_01678  | NLFGBHOG_01600
GBNPKNOO_01679  | NLFGBHOG_01601
GBNPKNOO_01680  | NLFGBHOG_01602
GBNPKNOO_01681  | NLFGBHOG_01603
GBNPKNOO_01682  | NLFGBHOG_01604
GBNPKNOO_01683  | NLFGBHOG_01605
GBNPKNOO_01684  | È±Ê§
GBNPKNOO_01685  | È±Ê§
GBNPKNOO_01686  | È±Ê§
GBNPKNOO_01687  | È±Ê§
GBNPKNOO_01688  | È±Ê§
GBNPKNOO_01689  | È±Ê§
GBNPKNOO_01690  | NLFGBHOG_01484
GBNPKNOO_01691  | NLFGBHOG_01483
GBNPKNOO_01692  | NLFGBHOG_01482
GBNPKNOO_01693  | NLFGBHOG_01481
GBNPKNOO_01694  | NLFGBHOG_01480

¾úÖê: APC942_32-1
Ä¿±ê»ùÒòID | Æ¥ÅäµÄ¾úÖê»ùÒòID
--------------------------------
GBNPKNOO_01666  | HLNIKFCA_01160
