query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
IOFJGDLB_01046	411483.FAEPRAA2165_03181	0.0	1201.0	COG0419@1|root,COG0419@2|Bacteria,1TPCS@1239|Firmicutes,24A22@186801|Clostridia,3WG9M@541000|Ruminococcaceae	2|Bacteria	L	exonuclease SbcC	sbcC	-	-	ko:K03546	-	-	-	-	ko00000,ko03400	-	-	-	AAA_23,AAA_29,SbcCD_C
IOFJGDLB_01324	411483.FAEPRAA2165_00483	5.02e-168	469.0	COG0106@1|root,COG0106@2|Bacteria,1V1IR@1239|Firmicutes,24GBJ@186801|Clostridia,3WH1N@541000|Ruminococcaceae	2|Bacteria	E	1-(5-phosphoribosyl)-5- (5-phosphoribosylamino)methylideneamino imidazole-4-carboxamide isomerase	hisA	GO:0000105,GO:0000162,GO:0003674,GO:0003824,GO:0003949,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006547,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016053,GO:0016853,GO:0016860,GO:0016861,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0042401,GO:0042430,GO:0042435,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046219,GO:0046394,GO:0046483,GO:0052803,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	5.3.1.16	ko:K01814	ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230	M00026	R04640	RC00945	ko00000,ko00001,ko00002,ko01000	-	-	iAF987.Gmet_0388	His_biosynth
IOFJGDLB_02474	411483.FAEPRAA2165_01107	5.98e-90	265.0	COG1380@1|root,COG1380@2|Bacteria	2|Bacteria	S	Effector of murein hydrolase LrgA	lrgA	GO:0000270,GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006022,GO:0006026,GO:0006027,GO:0006807,GO:0006810,GO:0008104,GO:0008150,GO:0008152,GO:0008565,GO:0009056,GO:0009057,GO:0009253,GO:0015031,GO:0015833,GO:0016020,GO:0030203,GO:0033036,GO:0042886,GO:0043170,GO:0044464,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071704,GO:0071705,GO:0071944,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575	-	ko:K05338,ko:K06518	ko02020,map02020	-	-	-	ko00000,ko00001,ko02000	1.E.14.1,1.E.14.2	-	-	LrgA
IOFJGDLB_01752	411483.FAEPRAA2165_00246	5.05e-184	511.0	COG0564@1|root,COG0564@2|Bacteria,1TX59@1239|Firmicutes,24HTV@186801|Clostridia,3WHF8@541000|Ruminococcaceae	2|Bacteria	J	Pseudouridine synthase	rluC	-	5.4.99.23,5.4.99.28,5.4.99.29	ko:K06177,ko:K06180	-	-	-	-	ko00000,ko01000,ko03009,ko03016	-	-	-	PseudoU_synth_2
IOFJGDLB_01792	411483.FAEPRAA2165_00294	4.33e-191	530.0	2ETSK@1|root,33MA0@2|Bacteria,1VN3Q@1239|Firmicutes,25533@186801|Clostridia	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IOFJGDLB_01949	411483.FAEPRAA2165_02618	4.53e-197	545.0	COG1573@1|root,COG1573@2|Bacteria,1UY78@1239|Firmicutes,24FDP@186801|Clostridia,3WIWM@541000|Ruminococcaceae	2|Bacteria	L	DNA metabolism protein	ung2	-	3.2.2.27	ko:K21929	ko03410,map03410	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	DUF4130,UDG
IOFJGDLB_00238	411483.FAEPRAA2165_02336	4.18e-199	551.0	COG0860@1|root,COG0860@2|Bacteria,1V4XQ@1239|Firmicutes,24KYC@186801|Clostridia,3WRIQ@541000|Ruminococcaceae	2|Bacteria	M	N-acetylmuramoyl-L-alanine amidase	-	-	3.5.1.28	ko:K01448	ko01503,map01503	M00727	R04112	RC00064,RC00141	ko00000,ko00001,ko00002,ko01000,ko01011,ko03036	-	-	-	Amidase_3
IOFJGDLB_00670	411483.FAEPRAA2165_01424	3.66e-182	507.0	COG5523@1|root,COG5523@2|Bacteria,1V6FC@1239|Firmicutes,24JPX@186801|Clostridia,3WJR0@541000|Ruminococcaceae	2|Bacteria	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	DUF975
IOFJGDLB_00855	657322.FPR_06640	1.54e-60	201.0	2EP6H@1|root,33GT7@2|Bacteria,1VPJU@1239|Firmicutes,24X7H@186801|Clostridia	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IOFJGDLB_02056	411483.FAEPRAA2165_02499	2.07e-286	783.0	COG1323@1|root,COG1323@2|Bacteria,1TPP2@1239|Firmicutes,247UP@186801|Clostridia,3WI9X@541000|Ruminococcaceae	2|Bacteria	S	Belongs to the UPF0348 family	ylbM	-	-	-	-	-	-	-	-	-	-	-	HIGH_NTase1
IOFJGDLB_02099	411483.FAEPRAA2165_02812	6.43e-202	559.0	COG2890@1|root,COG2890@2|Bacteria,1TSMA@1239|Firmicutes,24838@186801|Clostridia,3WGK1@541000|Ruminococcaceae	2|Bacteria	J	Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif	prmC	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006304,GO:0006305,GO:0006306,GO:0006464,GO:0006479,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008213,GO:0008276,GO:0008757,GO:0009007,GO:0009008,GO:0009987,GO:0016740,GO:0016741,GO:0018364,GO:0019538,GO:0032259,GO:0032775,GO:0034641,GO:0036009,GO:0036211,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0044728,GO:0046483,GO:0071704,GO:0090304,GO:0140096,GO:0140097,GO:1901360,GO:1901564	2.1.1.297,2.1.1.298	ko:K02493,ko:K07320	-	-	R10806	RC00003,RC03279	ko00000,ko01000,ko03009,ko03012	-	-	-	MTS
IOFJGDLB_01924	411483.FAEPRAA2165_02645	2.34e-285	779.0	COG0013@1|root,COG0013@2|Bacteria,1TSBZ@1239|Firmicutes,249VN@186801|Clostridia,3WHB1@541000|Ruminococcaceae	2|Bacteria	J	Threonine alanine tRNA ligase second additional domain protein	alaS_2	-	6.1.1.7	ko:K01872	ko00970,map00970	M00359,M00360	R03038	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	DHHA1,tRNA-synt_2c,tRNA_SAD
IOFJGDLB_01188	411483.FAEPRAA2165_03457	3.2e-267	730.0	28KXK@1|root,2ZADH@2|Bacteria,1V79T@1239|Firmicutes,24K1T@186801|Clostridia,3WJWA@541000|Ruminococcaceae	2|Bacteria	S	Leucine rich repeats (6 copies)	-	-	-	-	-	-	-	-	-	-	-	-	LRR_5
IOFJGDLB_02758	411483.FAEPRAA2165_00772	9.67e-174	485.0	COG3142@1|root,COG3142@2|Bacteria,1UYI8@1239|Firmicutes,247QB@186801|Clostridia,3WIQQ@541000|Ruminococcaceae	2|Bacteria	P	Participates in the control of copper homeostasis	cutC	GO:0006873,GO:0006875,GO:0006878,GO:0008150,GO:0009987,GO:0010035,GO:0010038,GO:0019725,GO:0030003,GO:0042221,GO:0042592,GO:0046688,GO:0046916,GO:0048878,GO:0050801,GO:0050896,GO:0055065,GO:0055070,GO:0055076,GO:0055080,GO:0055082,GO:0065007,GO:0065008,GO:0098771	-	ko:K06201	-	-	-	-	ko00000	-	-	-	CutC
IOFJGDLB_01754	411483.FAEPRAA2165_00248	1.21e-130	371.0	COG1971@1|root,COG1971@2|Bacteria,1V4QK@1239|Firmicutes,24FY0@186801|Clostridia,3WJ0X@541000|Ruminococcaceae	2|Bacteria	P	Probably functions as a manganese efflux pump	mntP	-	-	-	-	-	-	-	-	-	-	-	Mntp
IOFJGDLB_01967	411483.FAEPRAA2165_02599	1.11e-234	644.0	2BX7E@1|root,32R0T@2|Bacteria,1V9JV@1239|Firmicutes,24PP1@186801|Clostridia,3WKGC@541000|Ruminococcaceae	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IOFJGDLB_02356	411483.FAEPRAA2165_02878	2.38e-296	807.0	COG1020@1|root,COG1020@2|Bacteria,1VIM0@1239|Firmicutes,24UTC@186801|Clostridia,3WMHY@541000|Ruminococcaceae	2|Bacteria	Q	D-alanine [D-alanyl carrier protein] ligase activity	-	-	6.3.2.14	ko:K02364	ko01053,ko01110,ko01130,map01053,map01110,map01130	-	R07644	RC00162,RC03046	ko00000,ko00001,ko01000,ko01008	-	-	-	AMP-binding,Condensation,PP-binding
IOFJGDLB_02359	411483.FAEPRAA2165_02875	2.27e-134	380.0	2C8MG@1|root,32X91@2|Bacteria,1VD66@1239|Firmicutes,24NA1@186801|Clostridia,3WKPS@541000|Ruminococcaceae	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IOFJGDLB_02771	411483.FAEPRAA2165_00757	1.53e-98	298.0	2EMH0@1|root,33F5M@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Collagen
IOFJGDLB_00374	411483.FAEPRAA2165_01557	8.11e-191	528.0	2BBZZ@1|root,325IJ@2|Bacteria,1URJQ@1239|Firmicutes,259G0@186801|Clostridia,3WQ3T@541000|Ruminococcaceae	2|Bacteria	S	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_10
IOFJGDLB_00553	411483.FAEPRAA2165_02206	3.42e-259	709.0	COG0682@1|root,COG0682@2|Bacteria,1TPAK@1239|Firmicutes,24APG@186801|Clostridia,3WH7A@541000|Ruminococcaceae	2|Bacteria	M	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins	lgt	GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0008961,GO:0009058,GO:0009059,GO:0009249,GO:0009898,GO:0009987,GO:0010467,GO:0016020,GO:0016021,GO:0016740,GO:0016757,GO:0018065,GO:0018193,GO:0018205,GO:0019538,GO:0031224,GO:0031226,GO:0034645,GO:0036211,GO:0040007,GO:0042157,GO:0042158,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044425,GO:0044459,GO:0044464,GO:0051604,GO:0071704,GO:0071944,GO:0098552,GO:0098562,GO:0140096,GO:1901564,GO:1901566,GO:1901576	2.1.1.199	ko:K03438,ko:K13292	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	LGT
IOFJGDLB_02341	411483.FAEPRAA2165_02896	4.81e-253	694.0	COG0079@1|root,COG0079@2|Bacteria,1TP5D@1239|Firmicutes,248Q0@186801|Clostridia,3WHN4@541000|Ruminococcaceae	2|Bacteria	E	Psort location Cytoplasmic, score	cobD	-	4.1.1.81	ko:K04720	ko00860,map00860	-	R06530	RC00517	ko00000,ko00001,ko01000	-	-	-	Aminotran_1_2
IOFJGDLB_02487	411483.FAEPRAA2165_01092	2.21e-67	209.0	2C176@1|root,2ZD1S@2|Bacteria,1W5ZC@1239|Firmicutes	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IOFJGDLB_02752	411483.FAEPRAA2165_00778	8.04e-124	353.0	COG1611@1|root,COG1611@2|Bacteria,1UKED@1239|Firmicutes,24DSN@186801|Clostridia,3WIP4@541000|Ruminococcaceae	2|Bacteria	L	Belongs to the LOG family	yvdD	-	3.2.2.10	ko:K06966	ko00230,ko00240,map00230,map00240	-	R00182,R00510	RC00063,RC00318	ko00000,ko00001,ko01000	-	-	-	Lysine_decarbox
IOFJGDLB_02360	411483.FAEPRAA2165_02874	8.04e-158	442.0	2E77V@1|root,32VJN@2|Bacteria,1VA37@1239|Firmicutes,24P5M@186801|Clostridia,3WKQS@541000|Ruminococcaceae	2|Bacteria	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	-
IOFJGDLB_00172	411483.FAEPRAA2165_02418	1.12e-110	318.0	COG1846@1|root,COG1846@2|Bacteria,1UQ0B@1239|Firmicutes,257MR@186801|Clostridia,3WMF0@541000|Ruminococcaceae	2|Bacteria	K	helix_turn_helix multiple antibiotic resistance protein	-	-	-	-	-	-	-	-	-	-	-	-	MarR,MarR_2
IOFJGDLB_00183	411483.FAEPRAA2165_02406	1.76e-220	608.0	COG0324@1|root,COG0324@2|Bacteria,1TPSC@1239|Firmicutes,248HB@186801|Clostridia,3WGGD@541000|Ruminococcaceae	2|Bacteria	J	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A)	miaA	GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016765,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0052381,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360	2.5.1.75	ko:K00791	ko00908,ko01100,ko01110,map00908,map01100,map01110	-	R01122	RC02820	ko00000,ko00001,ko01000,ko01006,ko03016	-	-	-	IPPT
IOFJGDLB_00709	411483.FAEPRAA2165_01376	0.0	1365.0	COG4166@1|root,COG4166@2|Bacteria,1VRU1@1239|Firmicutes,255ES@186801|Clostridia,3WHC3@541000|Ruminococcaceae	2|Bacteria	E	Tat pathway signal sequence domain protein	-	-	-	ko:K02035	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	SBP_bac_5,TAT_signal
IOFJGDLB_00993	411471.SUBVAR_05872	1.59e-10	70.1	COG2385@1|root,COG2385@2|Bacteria,1V9H8@1239|Firmicutes,24K70@186801|Clostridia,3WI9P@541000|Ruminococcaceae	2|Bacteria	D	SpoIID LytB domain protein	-	-	-	ko:K06381	-	-	-	-	ko00000	-	-	-	CinA,MoCF_biosynth,Sortase,SpoIID
IOFJGDLB_01350	411483.FAEPRAA2165_00516	0.0	875.0	COG0739@1|root,COG0739@2|Bacteria,1V7QV@1239|Firmicutes,24M4A@186801|Clostridia,3WNIT@541000|Ruminococcaceae	2|Bacteria	M	Peptidase, M23 family	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M23
IOFJGDLB_01778	411483.FAEPRAA2165_00279	0.0	895.0	2DVGZ@1|root,33VUK@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IOFJGDLB_01790	411483.FAEPRAA2165_00292	3.97e-157	443.0	COG0671@1|root,COG0671@2|Bacteria,1V2ZH@1239|Firmicutes,24HRY@186801|Clostridia,3WJUP@541000|Ruminococcaceae	2|Bacteria	I	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	PAP2,PAP2_3
IOFJGDLB_02570	411483.FAEPRAA2165_00999	2.06e-237	654.0	COG2385@1|root,COG2385@2|Bacteria,1TQSI@1239|Firmicutes,249H0@186801|Clostridia,3WIE9@541000|Ruminococcaceae	2|Bacteria	D	Stage II sporulation protein D	spoIID	GO:0005575,GO:0005623,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0044464	-	ko:K06381	-	-	-	-	ko00000	-	-	-	SpoIID
IOFJGDLB_00227	411483.FAEPRAA2165_02350	1.39e-212	588.0	COG3854@1|root,COG3854@2|Bacteria,1TQ23@1239|Firmicutes,248S2@186801|Clostridia,3WGH3@541000|Ruminococcaceae	2|Bacteria	S	stage III sporulation protein AA	spoIIIAA	-	-	ko:K06390	-	-	-	-	ko00000	-	-	-	AAA,T2SSE
IOFJGDLB_00854	411483.FAEPRAA2165_01866	7.19e-167	466.0	COG2071@1|root,COG2071@2|Bacteria,1V1KC@1239|Firmicutes,24JCU@186801|Clostridia,3WIV9@541000|Ruminococcaceae	2|Bacteria	F	peptidase C26	-	-	4.1.3.27	ko:K01658,ko:K07010	ko00400,ko00405,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map01100,map01110,map01130,map01230,map02024,map02025	M00023	R00985,R00986	RC00010,RC02148,RC02414	ko00000,ko00001,ko00002,ko01000,ko01002	-	-	-	Peptidase_C26
IOFJGDLB_01646	411483.FAEPRAA2165_00113	5.09e-161	450.0	COG0637@1|root,COG0637@2|Bacteria,1V1DF@1239|Firmicutes,24DES@186801|Clostridia	2|Bacteria	S	HAD hydrolase, family IA, variant 3	-	-	5.4.2.6	ko:K01838	ko00500,map00500	-	R02728,R11310	RC00408	ko00000,ko00001,ko01000	-	-	-	HAD_2
IOFJGDLB_01700	411483.FAEPRAA2165_00180	0.0	891.0	COG0151@1|root,COG0151@2|Bacteria,1TRIN@1239|Firmicutes,24B1S@186801|Clostridia,3WNA3@541000|Ruminococcaceae	2|Bacteria	F	Involved in the de novo purine biosynthesis. Catalyzes the transfer of formate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR). Formate is provided by PurU via hydrolysis of 10-formyl-tetrahydrofolate	purD	-	6.3.4.13,6.3.5.5	ko:K01945,ko:K01955	ko00230,ko00240,ko00250,ko01100,ko01110,ko01130,map00230,map00240,map00250,map01100,map01110,map01130	M00048,M00051	R00256,R00575,R01395,R04144,R10948,R10949	RC00002,RC00010,RC00043,RC00090,RC00166,RC02750,RC02798,RC03314	ko00000,ko00001,ko00002,ko01000	-	-	-	ATP-grasp,ATP-grasp_3,ATP-grasp_4,CPSase_L_D2,GARS_A
