Status	Bin_ID	Level	Completeness	Contamination	Strain_heterogeneity	Reason
PASS	A2165	genomes	100.00	0.00	0.00	-
PASS	AF10-13	genomes	99.32	0.00	0.00	-
PASS	AF10-46	genomes	100.00	0.00	0.00	-
PASS	AF27-11BH	genomes	100.00	0.00	0.00	-
PASS	AF29-11BH	genomes	100.00	0.00	0.00	-
PASS	AF31-14AC	genomes	100.00	0.00	0.00	-
PASS	AF32-8AC	genomes	100.00	0.00	0.00	-
PASS	AF36-11AT	genomes	100.00	0.00	0.00	-
PASS	AF52-21	genomes	100.00	0.00	0.00	-
PASS	AHMP21	genomes	100.00	0.34	0.00	-
PASS	AM33-14AC	genomes	100.00	0.00	0.00	-
PASS	AM36-18BH	genomes	100.00	0.00	0.00	-
PASS	AM37-13AC	genomes	99.32	0.00	0.00	-
PASS	AM39-7BH	genomes	100.00	0.00	0.00	-
PASS	AM42-11AC	genomes	100.00	0.00	0.00	-
PASS	AM43-5AT	genomes	100.00	0.00	0.00	-
PASS	APC918_95b	genomes	100.00	0.00	0.00	-
PASS	APC922_41-1	genomes	100.00	0.00	0.00	-
PASS	APC923_51-1	genomes	99.32	0.00	0.00	-
PASS	APC923_61-1	genomes	100.00	0.00	0.00	-
PASS	APC924_119	genomes	100.00	0.00	0.00	-
PASS	APC942_18-1	genomes	100.00	0.00	0.00	-
PASS	APC942_32-1	genomes	100.00	0.00	0.00	-
PASS	APC942_8-14-2	genomes	100.00	0.00	0.00	-
PASS	ATCC_27766	genomes	100.00	0.00	0.00	-
PASS	ATCC_27768	genomes	100.00	0.00	0.00	-
PASS	BIOML-A1	genomes	100.00	0.00	0.00	-
PASS	BIOML-A1-1	genomes	100.00	0.00	0.00	-
PASS	BIOML-A2	genomes	100.00	0.00	0.00	-
PASS	BIOML-A3	genomes	100.00	0.14	0.00	-
PASS	BIOML-A4	genomes	100.00	0.14	0.00	-
PASS	BIOML-B1	genomes	100.00	0.00	0.00	-
PASS	BIOML-B10	genomes	100.00	0.00	0.00	-
PASS	BIOML-B11	genomes	100.00	0.00	0.00	-
PASS	BIOML-B12	genomes	100.00	0.00	0.00	-
PASS	BIOML-B13	genomes	100.00	0.00	0.00	-
PASS	BIOML-B14	genomes	100.00	0.00	0.00	-
PASS	BIOML-B17	genomes	100.00	0.00	0.00	-
PASS	BIOML-B18	genomes	100.00	0.00	0.00	-
PASS	BIOML-B2	genomes	100.00	0.00	0.00	-
PASS	BIOML-B3	genomes	100.00	0.00	0.00	-
PASS	BIOML-B4	genomes	100.00	0.00	0.00	-
PASS	BIOML-B5	genomes	100.00	0.14	0.00	-
PASS	BIOML-B6	genomes	100.00	0.14	0.00	-
PASS	BIOML-B7	genomes	100.00	0.00	0.00	-
PASS	BIOML-B8	genomes	100.00	0.00	0.00	-
PASS	BIOML-B9	genomes	100.00	0.00	0.00	-
PASS	CLAAAH16.combined	genomes	100.00	0.27	0.00	-
PASS	CLAAAH175.combined	genomes	99.32	0.00	0.00	-
PASS	CLAAAH222.combined	genomes	100.00	0.00	0.00	-
PASS	CLAAAH223.combined	genomes	100.00	0.00	0.00	-
PASS	CLAAAH233.combined	genomes	100.00	0.00	0.00	-
PASS	CLAAAH236.combined	genomes	100.00	0.00	0.00	-
PASS	CLAAAH243.combined	genomes	100.00	0.00	0.00	-
PASS	CLAAAH281.combined	genomes	100.00	0.00	0.00	-
PASS	CLAAAH283.combined	genomes	100.00	0.00	0.00	-
PASS	CLAJMH7.combined	genomes	100.00	0.00	0.00	-
PASS	CLAJMH7B.combined	genomes	100.00	0.00	0.00	-
PASS	CNCMI4540	genomes	100.00	0.00	0.00	-
PASS	CNCMI4541	genomes	99.32	1.95	0.00	-
PASS	CNCMI4542	genomes	100.00	0.34	0.00	-
PASS	CNCMI4543	genomes	100.00	0.00	0.00	-
PASS	CNCMI4544	genomes	100.00	1.42	0.00	-
PASS	CNCMI4573	genomes	100.00	0.68	0.00	-
PASS	CNCMI4574	genomes	100.00	0.00	0.00	-
PASS	CNCMI4575	genomes	100.00	0.00	0.00	-
PASS	CNCMI4644	genomes	99.32	0.00	0.00	-
PASS	FPSSTS7063_SV_a2	genomes	100.00	0.00	0.00	-
PASS	Fp1	genomes	100.00	0.00	0.00	-
PASS	Fp1043	genomes	100.00	0.00	0.00	-
PASS	Fp137	genomes	100.00	0.00	0.00	-
PASS	Fp14	genomes	100.00	0.00	0.00	-
PASS	Fp28	genomes	100.00	0.00	0.00	-
PASS	Fp360	genomes	100.00	0.00	0.00	-
PASS	Fp4	genomes	100.00	0.00	0.00	-
PASS	Fp40	genomes	100.00	0.00	0.00	-
PASS	Fp45	genomes	100.00	0.00	0.00	-
PASS	Fp77	genomes	100.00	0.00	0.00	-
PASS	Fp944	genomes	100.00	0.00	0.00	-
PASS	Indica	genomes	100.00	0.00	0.00	-
PASS	JG_BgPS064	genomes	100.00	0.00	0.00	-
PASS	KLE1255	genomes	97.96	0.00	0.00	-
PASS	L2_6	genomes	98.64	0.00	0.00	-
PASS	Marseille-P9312	genomes	100.00	0.00	0.00	-
PASS	Marseille-Q4896	genomes	100.00	0.00	0.00	-
PASS	OF03-6AC	genomes	100.00	0.00	0.00	-
PASS	OF04-11AC	genomes	98.13	0.00	0.00	-
PASS	OM04-11BH	genomes	99.32	0.00	0.00	-
PASS	P9094	genomes	100.00	0.00	0.00	-
PASS	P9122	genomes	100.00	0.00	0.00	-
PASS	P9123	genomes	100.00	0.00	0.00	-
PASS	P9224	genomes	100.00	0.00	0.00	-
PASS	P9225	genomes	100.00	0.00	0.00	-
PASS	P9238	genomes	100.00	0.00	0.00	-
PASS	P9239	genomes	100.00	0.00	0.00	-
PASS	P9240	genomes	100.00	0.00	0.00	-
PASS	P9241	genomes	100.00	0.00	0.00	-
PASS	P9311	genomes	100.00	0.00	0.00	-
PASS	P9313	genomes	100.00	0.00	0.00	-
PASS	P9391	genomes	100.00	0.00	0.00	-
PASS	SL3_3	genomes	99.09	0.00	0.00	-
PASS	scaffold_AF26-9	genomes	95.53	0.00	0.00	-
PASS	scaffold_AF29-7BH-C	genomes	100.00	0.00	0.00	-
PASS	scaffold_AF32-9BH	genomes	100.00	0.00	0.00	-
PASS	scaffold_AF35-6-C	genomes	100.00	0.00	0.00	-
PASS	scaffold_AFF13-7A	genomes	99.32	0.00	0.00	-
PASS	scaffold_AM100_B16A	genomes	100.00	0.00	0.00	-
PASS	scaffold_AM54-7NS	genomes	100.00	0.00	0.00	-
PASS	scaffold_CM04-06A	genomes	99.32	0.00	0.00	-
