query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
HACLHHAG_00081	718252.FP2_14660	1.61e-178	498.0	COG0327@1|root,COG0327@2|Bacteria,1TQ27@1239|Firmicutes,248Q2@186801|Clostridia,3WJ9H@541000|Ruminococcaceae	2|Bacteria	S	dinuclear metal center protein, YbgI	yqfO	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	3.5.4.16	ko:K22391	ko00790,ko01100,map00790,map01100	M00126	R00428,R04639,R05046,R05048	RC00263,RC00294,RC00323,RC00945,RC01188	ko00000,ko00001,ko00002,ko01000	-	-	-	NIF3
HACLHHAG_00546	718252.FP2_02500	7.4e-230	634.0	COG2385@1|root,COG2385@2|Bacteria,1TQSI@1239|Firmicutes,249H0@186801|Clostridia,3WIE9@541000|Ruminococcaceae	2|Bacteria	D	Stage II sporulation protein D	spoIID	GO:0005575,GO:0005623,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0044464	-	ko:K06381	-	-	-	-	ko00000	-	-	-	SpoIID
HACLHHAG_00926	718252.FP2_24880	0.0	922.0	COG1511@1|root,COG1511@2|Bacteria,1TQ15@1239|Firmicutes,24A8K@186801|Clostridia,3WGGJ@541000|Ruminococcaceae	2|Bacteria	S	Psort location Cellwall, score	-	-	-	ko:K01421	-	-	-	-	ko00000	-	-	-	-
HACLHHAG_01825	718252.FP2_06210	1.02e-182	508.0	COG3503@1|root,COG3503@2|Bacteria,1V8H3@1239|Firmicutes,24JRC@186801|Clostridia,3WJIA@541000|Ruminococcaceae	2|Bacteria	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	DUF1624
HACLHHAG_00237	718252.FP2_12090	2.85e-206	570.0	COG0454@1|root,COG2263@1|root,COG0456@2|Bacteria,COG2263@2|Bacteria,1UK73@1239|Firmicutes,25FNT@186801|Clostridia,3WSP2@541000|Ruminococcaceae	2|Bacteria	JK	Acetyltransferase (GNAT) family	-	-	3.5.1.28	ko:K03806	-	-	-	-	ko00000,ko01000,ko01011	-	-	-	Acetyltransf_1,DinB_2
HACLHHAG_00632	718252.FP2_15700	0.0	1818.0	COG0642@1|root,COG0745@1|root,COG0784@1|root,COG0745@2|Bacteria,COG0784@2|Bacteria,COG2205@2|Bacteria,1TQMV@1239|Firmicutes,247SE@186801|Clostridia,3WGVD@541000|Ruminococcaceae	2|Bacteria	T	Response regulator receiver domain protein	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HDOD,HisKA,PAS_9,Response_reg
HACLHHAG_01594	411483.FAEPRAA2165_02406	2.4e-175	494.0	COG0324@1|root,COG0324@2|Bacteria,1TPSC@1239|Firmicutes,248HB@186801|Clostridia,3WGGD@541000|Ruminococcaceae	2|Bacteria	J	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A)	miaA	GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016765,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0052381,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360	2.5.1.75	ko:K00791	ko00908,ko01100,ko01110,map00908,map01100,map01110	-	R01122	RC02820	ko00000,ko00001,ko01000,ko01006,ko03016	-	-	-	IPPT
HACLHHAG_00040	718252.FP2_15070	7.73e-104	301.0	COG2137@1|root,COG2137@2|Bacteria,1VM9C@1239|Firmicutes	2|Bacteria	S	Modulates RecA activity	recX	GO:0003674,GO:0005575,GO:0005623,GO:0005886,GO:0006282,GO:0008150,GO:0016020,GO:0019219,GO:0019222,GO:0030234,GO:0031323,GO:0044464,GO:0048583,GO:0050789,GO:0050790,GO:0050794,GO:0051052,GO:0051171,GO:0060255,GO:0065007,GO:0065009,GO:0071944,GO:0080090,GO:0080134,GO:0080135,GO:0098772,GO:2001020	-	ko:K03565	-	-	-	-	ko00000,ko03400	-	-	-	RecX
HACLHHAG_00436	718252.FP2_01410	3.84e-89	262.0	2DSCR@1|root,33FK0@2|Bacteria,1VKCD@1239|Firmicutes,24XEQ@186801|Clostridia,3WQQW@541000|Ruminococcaceae	2|Bacteria	S	Domain of unknown function (DUF3783)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3783
HACLHHAG_01545	718252.FP2_07680	2.62e-105	305.0	2E6BB@1|root,32FH3@2|Bacteria,1V7J4@1239|Firmicutes,24J8Z@186801|Clostridia,3WKIY@541000|Ruminococcaceae	2|Bacteria	S	stage III sporulation protein AG	spoIIIAG	-	-	ko:K06396	-	-	-	-	ko00000	-	-	-	-
