Status	Bin_ID	Level	Completeness	Contamination	Strain_heterogeneity	Reason
FAIL	GCA_001406615.2_14207_7_53-2_genomic	genome_fna	99.52	8.73	0.00	污染过高
FAIL	GCA_002549935.1_ASM254993v1_genomic	genome_fna	100.00	9.30	0.00	污染过高
FAIL	GCA_008671525.1_ASM867152v1_genomic	genome_fna	99.32	0.70	100.00	菌株异质性过高
FAIL	GCA_008680375.1_ASM868037v1_genomic	genome_fna	100.00	2.04	33.33	菌株异质性过高
FAIL	GCA_014868565.1_ASM1486856v1_genomic	genome_fna	93.65	0.00	0.00	完整性不足
FAIL	GCA_014868615.1_ASM1486861v1_genomic	genome_fna	98.95	1.36	33.33	菌株异质性过高
FAIL	GCA_014868805.1_ASM1486880v1_genomic	genome_fna	97.79	0.79	100.00	菌株异质性过高
FAIL	GCA_014868885.1_ASM1486888v1_genomic	genome_fna	97.28	0.82	100.00	菌株异质性过高
FAIL	GCA_016775395.1_ASM1677539v1_genomic	genome_fna	93.54	0.00	0.00	完整性不足
FAIL	GCA_018327745.1_ASM1832774v1_genomic	genome_fna	99.32	0.68	100.00	菌株异质性过高
FAIL	GCA_019113345.1_ASM1911334v1_genomic	genome_fna	98.64	2.13	20.00	菌株异质性过高
FAIL	GCA_019415235.1_ASM1941523v1_genomic	genome_fna	95.69	0.74	50.00	菌株异质性过高
FAIL	GCA_019969405.1_ASM1996940v1_genomic	genome_fna	100.00	0.34	100.00	菌株异质性过高
FAIL	GCA_020025825.1_ASM2002582v1_genomic	genome_fna	87.41	0.68	0.00	完整性不足
FAIL	GCA_021636605.1_ASM2163660v1_genomic	genome_fna	96.58	1.36	100.00	菌株异质性过高
FAIL	GCA_021637085.1_ASM2163708v1_genomic	genome_fna	94.58	0.79	100.00	完整性不足; 菌株异质性过高
FAIL	GCA_022133545.1_NA_genomic	genome_fna	100.00	1.16	100.00	菌株异质性过高
FAIL	GCA_022652735.1_ASM2265273v1_genomic	genome_fna	93.88	0.00	0.00	完整性不足
FAIL	GCA_022715465.1_ASM2271546v1_genomic	genome_fna	97.73	2.89	12.50	菌株异质性过高
FAIL	GCA_022716935.1_ASM2271693v1_genomic	genome_fna	89.43	3.06	0.00	完整性不足
FAIL	GCA_022722435.1_ASM2272243v1_genomic	genome_fna	97.62	0.23	100.00	菌株异质性过高
FAIL	GCA_022722805.1_ASM2272280v1_genomic	genome_fna	99.32	1.53	80.00	菌株异质性过高
FAIL	GCA_022723515.1_ASM2272351v1_genomic	genome_fna	98.47	0.51	50.00	菌株异质性过高
FAIL	GCA_022724735.1_ASM2272473v1_genomic	genome_fna	93.65	2.38	16.67	完整性不足; 菌株异质性过高
FAIL	GCA_022726435.1_ASM2272643v1_genomic	genome_fna	96.09	4.01	35.71	菌株异质性过高
FAIL	GCA_022732065.1_ASM2273206v1_genomic	genome_fna	94.78	1.02	0.00	完整性不足
FAIL	GCA_022741775.1_ASM2274177v1_genomic	genome_fna	94.73	0.68	0.00	完整性不足
FAIL	GCA_022742585.1_ASM2274258v1_genomic	genome_fna	93.88	2.21	80.00	完整性不足; 菌株异质性过高
FAIL	GCA_022746675.1_ASM2274667v1_genomic	genome_fna	95.58	1.96	16.67	菌株异质性过高
FAIL	GCA_022772325.1_ASM2277232v1_genomic	genome_fna	98.96	2.89	80.00	菌株异质性过高
FAIL	GCA_029076575.1_ASM2907657v1_genomic	genome_fna	100.00	8.64	96.15	污染过高; 菌株异质性过高
FAIL	GCA_029076745.1_ASM2907674v1_genomic	genome_fna	100.00	0.68	100.00	菌株异质性过高
FAIL	GCA_029225365.1_ASM2922536v1_genomic	genome_fna	99.32	0.68	100.00	菌株异质性过高
FAIL	GCA_029226165.1_ASM2922616v1_genomic	genome_fna	98.64	1.53	30.77	菌株异质性过高
FAIL	GCA_029267145.1_ASM2926714v1_genomic	genome_fna	93.63	1.04	66.67	完整性不足; 菌株异质性过高
FAIL	GCA_031294385.1_ASM3129438v1_genomic	genome_fna	97.62	2.89	66.67	菌株异质性过高
FAIL	GCA_032664925.1_ASM3266492v1_genomic	genome_fna	95.56	0.73	50.00	菌株异质性过高
FAIL	GCA_034087125.1_ASM3408712v1_genomic	genome_fna	94.76	2.04	0.00	完整性不足
FAIL	GCA_037230765.1_ASM3723076v1_genomic	genome_fna	99.32	0.41	75.00	菌株异质性过高
FAIL	GCA_037343065.1_ASM3734306v1_genomic	genome_fna	100.00	1.36	100.00	菌株异质性过高
FAIL	GCA_041322745.1_ASM4132274v1_genomic	genome_fna	91.16	0.00	0.00	完整性不足
FAIL	GCA_041323195.1_ASM4132319v1_genomic	genome_fna	97.90	2.04	100.00	菌株异质性过高
FAIL	GCA_041331095.1_ASM4133109v1_genomic	genome_fna	91.61	0.00	0.00	完整性不足
FAIL	GCA_041331555.1_ASM4133155v1_genomic	genome_fna	98.64	3.47	100.00	菌株异质性过高
FAIL	GCA_041332575.1_ASM4133257v1_genomic	genome_fna	94.56	1.36	100.00	完整性不足; 菌株异质性过高
FAIL	GCA_041336675.1_ASM4133667v1_genomic	genome_fna	89.12	0.00	0.00	完整性不足
FAIL	GCA_041337075.1_ASM4133707v1_genomic	genome_fna	89.23	2.72	20.00	完整性不足; 菌株异质性过高
FAIL	GCA_041405445.1_ASM4140544v1_genomic	genome_fna	90.14	0.00	0.00	完整性不足
FAIL	GCA_042854225.1_ASM4285422v1_genomic	genome_fna	99.32	1.36	100.00	菌株异质性过高
FAIL	GCA_046941375.1_ASM4694137v1_genomic	genome_fna	100.00	2.04	100.00	菌株异质性过高
FAIL	GCA_046944175.1_ASM4694417v1_genomic	genome_fna	91.90	0.00	0.00	完整性不足
FAIL	GCA_046952275.1_ASM4695227v1_genomic	genome_fna	95.92	0.82	50.00	菌株异质性过高
FAIL	GCA_046955135.1_ASM4695513v1_genomic	genome_fna	92.52	0.00	0.00	完整性不足
