user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
F.gallinarum-JCM-17207.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallinarum	GCF_022180365.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallinarum	100.0	1.0	GCF_022180365.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallinarum	100.0	1.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 87.34, 0.494; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 84.14, 0.257; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 83.28, 0.244; GCA_944387955.1, s__Faecalibacterium sp944387955, 95.0, 83.17, 0.244; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 82.76, 0.23; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 82.74, 0.194; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 82.68, 0.217; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 82.6, 0.23; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 82.51, 0.209; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 82.42, 0.186; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 81.58, 0.193	94.06	11	N/A	N/A
GCA_002160175.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	GCF_002160895.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	97.53	0.797	GCF_002160895.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	97.53	0.797	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 89.48, 0.667; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 88.66, 0.624; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 88.12, 0.562; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 86.9, 0.511; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 86.86, 0.506; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 86.49, 0.452; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 85.62, 0.44; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 85.23, 0.332; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 85.19, 0.366; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 84.12, 0.262; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.19, 0.226; GCA_944387955.1, s__Faecalibacterium sp944387955, 95.0, 81.99, 0.154	93.13	11	N/A	N/A
GCA_002160895.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	GCF_002160895.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	100.0	1.0	GCF_002160895.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	100.0	1.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 89.39, 0.681; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 88.61, 0.625; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 87.88, 0.56; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 86.96, 0.502; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 86.74, 0.486; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 86.44, 0.447; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 85.71, 0.444; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 85.26, 0.357; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 85.16, 0.335; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 84.14, 0.257; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.43, 0.219; GCA_944387955.1, s__Faecalibacterium sp944387955, 95.0, 82.3, 0.15	93.96	11	N/A	N/A
GCA_002160915.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium avium	GCA_019112805.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium avium	98.3	0.905	GCA_019112805.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium avium	98.3	0.905	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 87.43, 0.526; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 87.06, 0.519; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 86.53, 0.476; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 86.35, 0.465; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 85.69, 0.404; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 85.55, 0.46; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 85.54, 0.404; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 84.99, 0.391; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 84.57, 0.374; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 82.87, 0.205; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 82.47, 0.197	94.82	11	N/A	N/A
GCA_002161315.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	GCF_002160895.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	97.37	0.8	GCF_002160895.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp002160895	97.37	0.8	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 89.46, 0.674; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 88.66, 0.622; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 87.79, 0.56; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 86.92, 0.492; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 86.8, 0.486; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 86.45, 0.454; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 85.63, 0.454; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 85.41, 0.356; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 85.03, 0.327; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.82, 0.224; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 83.72, 0.245; GCA_944387955.1, s__Faecalibacterium sp944387955, 95.0, 82.37, 0.156	93.96	11	N/A	N/A
GCA_002161515.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium avium	GCA_019112805.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium avium	98.42	0.927	GCA_019112805.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium avium	98.42	0.927	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 87.59, 0.533; GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 87.31, 0.53; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 86.43, 0.486; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 86.08, 0.462; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 86.08, 0.401; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 86.02, 0.468; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 85.48, 0.401; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 85.4, 0.4; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 84.51, 0.373; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 82.81, 0.201; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 82.64, 0.209	94.82	11	N/A	N/A
GCA_017889475.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium intestinigallinarum	GCA_019113345.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium intestinigallinarum	98.24	0.861	GCA_019113345.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium intestinigallinarum	98.24	0.861	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 90.24, 0.672; GCA_019116585.1, s__Faecalibacterium gallistercoris, 95.0, 90.04, 0.645; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 89.64, 0.645; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 89.06, 0.575; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 86.49, 0.449; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 85.88, 0.441; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 85.53, 0.392; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 85.13, 0.364; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 84.61, 0.344; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.95, 0.224; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 82.58, 0.219	93.09	11	N/A	N/A
GCA_018374075.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.77	0.931	GCA_900540455.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455	98.77	0.931	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 81.84, 0.169; GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 81.56, 0.156; GCA_934561555.1, s__Faecalibacterium sp934561555, 95.0, 81.45, 0.154; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 81.32, 0.17; GCF_003287495.1, s__Faecalibacterium prausnitzii_I, 95.0, 80.95, 0.155	94.94	11	N/A	N/A
GCA_019116585.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	GCA_019116585.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	100.0	1.0	GCA_019116585.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium gallistercoris	100.0	1.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019119685.1, s__Faecalibacterium faecigallinarum, 95.0, 91.56, 0.728; GCA_019113345.1, s__Faecalibacterium intestinigallinarum, 95.0, 90.19, 0.654; GCA_944387975.1, s__Faecalibacterium sp944387975, 95.0, 89.31, 0.608; GCA_019118985.1, s__Faecalibacterium faecipullorum, 95.0, 88.7, 0.534; GCA_019112805.1, s__Faecalibacterium avium, 95.0, 87.1, 0.502; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 86.74, 0.486; GCA_944386015.1, s__Faecalibacterium sp944386015, 95.0, 86.05, 0.453; GCA_904394215.1, s__Faecalibacterium sp904394215, 95.0, 85.42, 0.395; GCA_944385995.1, s__Faecalibacterium sp944385995, 95.0, 85.4, 0.402; GCA_018883885.1, s__Faecalibacterium intestinavium, 95.0, 83.72, 0.223; GCF_022180365.1, s__Faecalibacterium gallinarum, 95.0, 82.6, 0.23; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 81.27, 0.156	93.72	11	N/A	N/A
GCA_021627765.fna	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__SFJ001;s__SFJ001 sp934513685	GCA_934513685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__SFJ001;s__SFJ001 sp934513685	98.09	0.923	GCA_934513685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__SFJ001;s__SFJ001 sp934513685	98.09	0.923	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__SFJ001;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_004555865.1, s__SFJ001 sp004555865, 95.0, 94.21, 0.856	90.59	11	N/A	N/A
