Status	Bin_ID	Level	Complete	Fragmented	Duplicated	Reason
Fail	GCA_000434595.1_MGS82_genomic	genome_fna	59.7	5.6	2.4	Complete <90%
Fail	GCA_000434675.1_MGS1138_genomic	genome_fna	88.7	0.8	0.0	Complete <90%
Fail	GCA_001916495.1_ASM191649v1_genomic	genome_fna	34.7	18.5	4.0	Complete <90%; Fragmented >10%
Fail	GCA_001916535.1_ASM191653v1_genomic	genome_fna	12.1	16.9	0.8	Complete <90%; Fragmented >10%
Fail	GCA_001916545.1_ASM191654v1_genomic	genome_fna	41.1	13.7	6.5	Complete <90%; Fragmented >10%; Duplicated >5%
Fail	GCA_001916555.1_ASM191655v1_genomic	genome_fna	42.7	12.1	4.0	Complete <90%; Fragmented >10%
Fail	GCA_002306375.1_ASM230637v1_genomic	genome_fna	83.9	7.3	0.8	Complete <90%
Fail	GCA_002309735.1_ASM230973v1_genomic	genome_fna	55.6	12.9	0.0	Complete <90%; Fragmented >10%
Fail	GCA_002313795.1_ASM231379v1_genomic	genome_fna	44.4	15.3	3.2	Complete <90%; Fragmented >10%
Fail	GCA_002314755.1_ASM231475v1_genomic	genome_fna	75.8	3.2	1.6	Complete <90%
Fail	GCA_002315315.1_ASM231531v1_genomic	genome_fna	54.8	5.6	0.8	Complete <90%
Fail	GCA_002331585.1_ASM233158v1_genomic	genome_fna	78.2	10.5	1.6	Complete <90%; Fragmented >10%
Fail	GCA_002404655.1_ASM240465v1_genomic	genome_fna	38.7	13.7	0.8	Complete <90%; Fragmented >10%
Fail	GCA_002491225.1_ASM249122v1_genomic	genome_fna	77.4	9.7	0.8	Complete <90%
Fail	GCA_003449675.1_ASM344967v1_genomic	genome_fna	44.4	6.5	0.8	Complete <90%
Fail	GCA_003460645.1_ASM346064v1_genomic	genome_fna	87.1	10.5	0.0	Complete <90%; Fragmented >10%
Fail	GCA_003476185.1_ASM347618v1_genomic	genome_fna	58.1	6.5	2.4	Complete <90%
Fail	GCA_003476805.1_ASM347680v1_genomic	genome_fna	61.3	6.5	4.8	Complete <90%
Fail	GCA_003478175.1_ASM347817v1_genomic	genome_fna	96.8	1.6	5.6	Duplicated >5%
Fail	GCA_003489735.1_ASM348973v1_genomic	genome_fna	59.7	12.1	2.4	Complete <90%; Fragmented >10%
Fail	GCA_003508795.1_ASM350879v1_genomic	genome_fna	58.9	6.5	3.2	Complete <90%
Fail	GCA_003529935.1_ASM352993v1_genomic	genome_fna	51.6	9.7	0.8	Complete <90%
Fail	GCA_003540775.1_ASM354077v1_genomic	genome_fna	46.8	9.7	1.6	Complete <90%
Fail	GCA_003543065.1_ASM354306v1_genomic	genome_fna	43.5	14.5	2.4	Complete <90%; Fragmented >10%
Fail	GCA_004551805.1_ASM455180v1_genomic	genome_fna	86.3	4.0	12.1	Complete <90%; Duplicated >5%
Fail	GCA_004552345.1_ASM455234v1_genomic	genome_fna	82.3	7.3	4.8	Complete <90%
Fail	GCA_004554025.1_ASM455402v1_genomic	genome_fna	58.1	6.5	1.6	Complete <90%
Fail	GCA_004555945.1_ASM455594v1_genomic	genome_fna	87.9	3.2	3.2	Complete <90%
Fail	GCA_004558805.1_ASM455880v1_genomic	genome_fna	85.5	4.0	4.0	Complete <90%
Fail	GCA_008671645.1_ASM867164v1_genomic	genome_fna	58.9	9.7	0.8	Complete <90%
Fail	GCA_008671895.1_ASM867189v1_genomic	genome_fna	71.0	6.5	1.6	Complete <90%
Fail	GCA_008672115.1_ASM867211v1_genomic	genome_fna	73.4	4.8	1.6	Complete <90%
Fail	GCA_008672775.1_ASM867277v1_genomic	genome_fna	73.4	4.8	1.6	Complete <90%
Fail	GCA_008673195.1_ASM867319v1_genomic	genome_fna	71.8	4.8	3.2	Complete <90%
Fail	GCA_008680155.1_ASM868015v1_genomic	genome_fna	95.2	2.4	9.7	Duplicated >5%
Fail	GCA_009679805.1_ASM967980v1_genomic	genome_fna	96.0	2.4	6.5	Duplicated >5%
Fail	GCA_009679815.1_ASM967981v1_genomic	genome_fna	96.0	2.4	8.9	Duplicated >5%
Fail	GCA_014847005.1_ASM1484700v1_genomic	genome_fna	41.9	12.9	3.2	Complete <90%; Fragmented >10%
Fail	GCA_014847095.1_ASM1484709v1_genomic	genome_fna	46.0	5.6	4.8	Complete <90%
Fail	GCA_014847115.1_ASM1484711v1_genomic	genome_fna	60.5	4.8	6.5	Complete <90%; Duplicated >5%
Fail	GCA_014847695.1_ASM1484769v1_genomic	genome_fna	55.6	7.3	3.2	Complete <90%
Fail	GCA_014847965.1_ASM1484796v1_genomic	genome_fna	63.7	5.6	7.3	Complete <90%; Duplicated >5%
Fail	GCA_014848725.1_ASM1484872v1_genomic	genome_fna	54.8	8.9	12.1	Complete <90%; Duplicated >5%
Fail	GCA_014868465.1_ASM1486846v1_genomic	genome_fna	54.8	8.1	0.8	Complete <90%
Fail	GCA_014868505.1_ASM1486850v1_genomic	genome_fna	52.4	12.1	2.4	Complete <90%; Fragmented >10%
Fail	GCA_014868525.1_ASM1486852v1_genomic	genome_fna	55.6	8.9	4.8	Complete <90%
Fail	GCA_014868535.1_ASM1486853v1_genomic	genome_fna	48.4	16.1	0.8	Complete <90%; Fragmented >10%
Fail	GCA_014868575.1_ASM1486857v1_genomic	genome_fna	89.5	2.4	1.6	Complete <90%
Fail	GCA_014868605.1_ASM1486860v1_genomic	genome_fna	59.7	4.0	3.2	Complete <90%
Fail	GCA_014868645.1_ASM1486864v1_genomic	genome_fna	64.5	8.1	3.2	Complete <90%
Fail	GCA_014868665.1_ASM1486866v1_genomic	genome_fna	55.6	8.1	4.0	Complete <90%
Fail	GCA_014868675.1_ASM1486867v1_genomic	genome_fna	58.1	10.5	3.2	Complete <90%; Fragmented >10%
Fail	GCA_014868685.1_ASM1486868v1_genomic	genome_fna	66.1	8.1	3.2	Complete <90%
Fail	GCA_014868725.1_ASM1486872v1_genomic	genome_fna	60.5	6.5	3.2	Complete <90%
Fail	GCA_014868745.1_ASM1486874v1_genomic	genome_fna	58.1	9.7	2.4	Complete <90%
Fail	GCA_014868765.1_ASM1486876v1_genomic	genome_fna	86.3	4.8	4.0	Complete <90%
Fail	GCA_014868785.1_ASM1486878v1_genomic	genome_fna	66.9	3.2	3.2	Complete <90%
Fail	GCA_014868795.1_ASM1486879v1_genomic	genome_fna	60.5	8.9	0.8	Complete <90%
Fail	GCA_014868825.1_ASM1486882v1_genomic	genome_fna	80.6	4.0	0.0	Complete <90%
Fail	GCA_014868865.1_ASM1486886v1_genomic	genome_fna	62.9	5.6	4.8	Complete <90%
Fail	GCA_014868895.1_ASM1486889v1_genomic	genome_fna	68.5	0.8	4.0	Complete <90%
Fail	GCA_014868905.1_ASM1486890v1_genomic	genome_fna	66.9	3.2	4.0	Complete <90%
Fail	GCA_014868915.1_ASM1486891v1_genomic	genome_fna	71.8	1.6	4.0	Complete <90%
Fail	GCA_014868965.1_ASM1486896v1_genomic	genome_fna	75.8	10.5	4.8	Complete <90%; Fragmented >10%
Fail	GCA_014868995.1_ASM1486899v1_genomic	genome_fna	54.0	6.5	0.8	Complete <90%
Fail	GCA_014869005.1_ASM1486900v1_genomic	genome_fna	81.5	4.0	1.6	Complete <90%
Fail	GCA_014869015.1_ASM1486901v1_genomic	genome_fna	76.6	1.6	4.8	Complete <90%
Fail	GCA_014869065.1_ASM1486906v1_genomic	genome_fna	72.6	7.3	3.2	Complete <90%
Fail	GCA_014869085.1_ASM1486908v1_genomic	genome_fna	88.7	2.4	2.4	Complete <90%
Fail	GCA_014869125.1_ASM1486912v1_genomic	genome_fna	41.9	16.9	0.0	Complete <90%; Fragmented >10%
Fail	GCA_014869135.1_ASM1486913v1_genomic	genome_fna	63.7	7.3	4.0	Complete <90%
Fail	GCA_014869165.1_ASM1486916v1_genomic	genome_fna	80.6	7.3	4.8	Complete <90%
Fail	GCA_017377615.1_ASM1737761v1_genomic	genome_fna	96.8	1.6	5.6	Duplicated >5%
Fail	GCA_017483235.1_ASM1748323v1_genomic	genome_fna	74.2	10.5	0.0	Complete <90%; Fragmented >10%
Fail	GCA_017850935.1_ASM1785093v1_genomic	genome_fna	86.3	3.2	7.3	Complete <90%; Duplicated >5%
Fail	GCA_017887145.1_ASM1788714v1_genomic	genome_fna	81.5	5.6	0.8	Complete <90%
Fail	GCA_017889385.1_ASM1788938v1_genomic	genome_fna	76.6	9.7	1.6	Complete <90%
Fail	GCA_017889415.1_ASM1788941v1_genomic	genome_fna	79.8	4.0	0.8	Complete <90%
Fail	GCA_017986815.1_ASM1798681v1_genomic	genome_fna	19.4	4.8	0.0	Complete <90%
Fail	GCA_017987465.1_ASM1798746v1_genomic	genome_fna	33.9	9.7	3.2	Complete <90%
Fail	GCA_017988105.1_ASM1798810v1_genomic	genome_fna	59.7	7.3	4.8	Complete <90%
Fail	GCA_017995535.1_ASM1799553v1_genomic	genome_fna	46.8	6.5	4.0	Complete <90%
Fail	GCA_018002455.1_ASM1800245v1_genomic	genome_fna	21.0	7.3	3.2	Complete <90%
Fail	GCA_018003615.1_ASM1800361v1_genomic	genome_fna	29.0	8.1	1.6	Complete <90%
Fail	GCA_018003715.1_ASM1800371v1_genomic	genome_fna	23.4	4.8	5.6	Complete <90%; Duplicated >5%
Fail	GCA_018003775.1_ASM1800377v1_genomic	genome_fna	27.4	8.9	1.6	Complete <90%
Fail	GCA_018004915.1_ASM1800491v1_genomic	genome_fna	37.9	5.6	6.5	Complete <90%; Duplicated >5%
Fail	GCA_018053405.1_ASM1805340v1_genomic	genome_fna	37.1	5.6	0.8	Complete <90%
Fail	GCA_018053495.1_ASM1805349v1_genomic	genome_fna	50.0	4.8	0.8	Complete <90%
Fail	GCA_018054095.1_ASM1805409v1_genomic	genome_fna	63.7	5.6	3.2	Complete <90%
Fail	GCA_018054225.1_ASM1805422v1_genomic	genome_fna	42.7	4.0	0.8	Complete <90%
Fail	GCA_018059345.1_ASM1805934v1_genomic	genome_fna	57.3	5.6	3.2	Complete <90%
Fail	GCA_018063785.1_ASM1806378v1_genomic	genome_fna	59.7	7.3	4.8	Complete <90%
Fail	GCA_018264715.1_ASM1826471v1_genomic	genome_fna	44.4	7.3	0.8	Complete <90%
Fail	GCA_018381175.1_ASM1838117v1_genomic	genome_fna	68.5	8.9	4.0	Complete <90%
Fail	GCA_018382155.1_ASM1838215v1_genomic	genome_fna	79.0	6.5	9.7	Complete <90%; Duplicated >5%
Fail	GCA_018382175.1_ASM1838217v1_genomic	genome_fna	70.2	7.3	4.0	Complete <90%
Fail	GCA_018883885.1_ASM1888388v1_genomic	genome_fna	79.8	6.5	0.0	Complete <90%
Fail	GCA_019112725.1_ASM1911272v1_genomic	genome_fna	83.1	4.8	3.2	Complete <90%
Fail	GCA_019112805.1_ASM1911280v1_genomic	genome_fna	66.1	2.4	0.8	Complete <90%
Fail	GCA_019118985.1_ASM1911898v1_genomic	genome_fna	60.5	8.9	0.8	Complete <90%
Fail	GCA_019119685.1_ASM1911968v1_genomic	genome_fna	83.9	2.4	0.0	Complete <90%
Fail	GCA_019415205.1_ASM1941520v1_genomic	genome_fna	82.3	4.8	4.0	Complete <90%
Fail	GCA_019415225.1_ASM1941522v1_genomic	genome_fna	58.9	10.5	3.2	Complete <90%; Fragmented >10%
Fail	GCA_019415325.1_ASM1941532v1_genomic	genome_fna	47.6	12.1	3.2	Complete <90%; Fragmented >10%
Fail	GCA_019425385.1_ASM1942538v1_genomic	genome_fna	50.0	9.7	6.5	Complete <90%; Duplicated >5%
Fail	GCA_019425445.1_ASM1942544v1_genomic	genome_fna	88.7	4.8	2.4	Complete <90%
Fail	GCA_020025795.1_ASM2002579v1_genomic	genome_fna	79.0	4.0	0.0	Complete <90%
Fail	GCA_021614945.1_ASM2161494v1_genomic	genome_fna	81.5	6.5	2.4	Complete <90%
Fail	GCA_021616555.1_ASM2161655v1_genomic	genome_fna	62.9	17.7	1.6	Complete <90%; Fragmented >10%
Fail	GCA_021618285.1_ASM2161828v1_genomic	genome_fna	68.5	10.5	3.2	Complete <90%; Fragmented >10%
Fail	GCA_021619025.1_ASM2161902v1_genomic	genome_fna	75.0	11.3	2.4	Complete <90%; Fragmented >10%
Fail	GCA_021620245.1_ASM2162024v1_genomic	genome_fna	84.7	8.1	2.4	Complete <90%
Fail	GCA_021621065.1_ASM2162106v1_genomic	genome_fna	66.1	11.3	1.6	Complete <90%; Fragmented >10%
Fail	GCA_021621235.1_ASM2162123v1_genomic	genome_fna	81.5	12.9	4.0	Complete <90%; Fragmented >10%
Fail	GCA_021621855.1_ASM2162185v1_genomic	genome_fna	71.0	15.3	14.5	Complete <90%; Fragmented >10%; Duplicated >5%
Fail	GCA_021622065.1_ASM2162206v1_genomic	genome_fna	89.5	8.1	4.8	Complete <90%
Fail	GCA_021622795.1_ASM2162279v1_genomic	genome_fna	71.0	18.5	2.4	Complete <90%; Fragmented >10%
Fail	GCA_021630865.1_ASM2163086v1_genomic	genome_fna	88.7	5.6	3.2	Complete <90%
Fail	GCA_021631065.1_ASM2163106v1_genomic	genome_fna	79.0	8.9	2.4	Complete <90%
Fail	GCA_021631355.1_ASM2163135v1_genomic	genome_fna	88.7	0.8	0.0	Complete <90%
